gene	cluster
ENSG00000090382	5
ENSG00000090520	2
ENSG00000090615	1
ENSG00000090659	2
ENSG00000090924	3
ENSG00000091039	3
ENSG00000091106	5
ENSG00000091409	1
ENSG00000091527	2
ENSG00000091640	1
ENSG00000091732	1
ENSG00000092010	1
ENSG00000092820	3
ENSG00000092841	4
ENSG00000092853	1
ENSG00000092871	3
ENSG00000093010	5
ENSG00000094841	4
ENSG00000095066	1
ENSG00000095370	5
ENSG00000095585	1
ENSG00000095970	1
ENSG00000096060	4
ENSG00000096717	2
ENSG00000096746	1
ENSG00000097033	4
ENSG00000099194	5
ENSG00000099282	5
ENSG00000099377	1
ENSG00000099385	1
ENSG00000099625	3
ENSG00000099725	1
ENSG00000099783	2
ENSG00000099817	5
ENSG00000099860	3
ENSG00000099904	5
ENSG00000099968	5
ENSG00000099985	3
ENSG00000099991	1
ENSG00000099995	5
ENSG00000100077	5
ENSG00000100092	5
ENSG00000100099	1
ENSG00000100129	4
ENSG00000100162	5
ENSG00000100181	5
ENSG00000100220	1
ENSG00000100221	3
ENSG00000100234	1
ENSG00000100242	5
ENSG00000100243	5
ENSG00000100292	2
ENSG00000100307	5
ENSG00000100311	3
ENSG00000100316	4
ENSG00000100330	5
ENSG00000100342	5
ENSG00000100345	5
ENSG00000100364	2
ENSG00000100385	1
ENSG00000100439	4
ENSG00000100503	1
ENSG00000100504	1
ENSG00000100519	4
ENSG00000100599	5
ENSG00000100600	2
ENSG00000100605	5
ENSG00000100614	4
ENSG00000100644	3
ENSG00000100647	3
ENSG00000100664	4
ENSG00000100749	2
ENSG00000100764	1
ENSG00000100784	5
ENSG00000100796	1
ENSG00000100813	1
ENSG00000100906	3
ENSG00000100911	1
ENSG00000100985	3
ENSG00000100994	5
ENSG00000101150	2
ENSG00000101161	1
ENSG00000101187	3
ENSG00000101193	4
ENSG00000101224	1
ENSG00000101236	2
ENSG00000101265	2
ENSG00000101290	4
ENSG00000101294	2
ENSG00000101307	5
ENSG00000101336	3
ENSG00000101337	5
ENSG00000101346	5
ENSG00000101347	1
ENSG00000101350	5
ENSG00000101391	1
ENSG00000101439	5
ENSG00000101474	5
ENSG00000101558	4
ENSG00000101577	5
ENSG00000101608	5
ENSG00000101811	2
ENSG00000101846	5
ENSG00000102007	2
ENSG00000102034	5
ENSG00000102125	1
ENSG00000102181	1
ENSG00000102265	3
ENSG00000102409	1
ENSG00000102524	1
ENSG00000102572	5
ENSG00000102699	5
ENSG00000102755	3
ENSG00000102805	5
ENSG00000102879	2
ENSG00000102893	2
ENSG00000102898	4
ENSG00000102921	4
ENSG00000102962	3
ENSG00000102970	2
ENSG00000103005	2
ENSG00000103042	2
ENSG00000103111	5
ENSG00000103187	5
ENSG00000103196	3
ENSG00000103249	1
ENSG00000103257	3
ENSG00000103313	3
ENSG00000103319	2
ENSG00000103335	1
ENSG00000103365	5
ENSG00000103489	3
ENSG00000103490	5
ENSG00000103496	2
ENSG00000103510	5
ENSG00000103544	2
ENSG00000103569	3
ENSG00000103994	1
ENSG00000104043	2
ENSG00000104164	4
ENSG00000104205	4
ENSG00000104219	4
ENSG00000104343	4
ENSG00000104365	1
ENSG00000104408	4
ENSG00000104419	3
ENSG00000104442	4
ENSG00000104472	4
ENSG00000104728	1
ENSG00000104738	5
ENSG00000104765	4
ENSG00000104774	5
ENSG00000104783	3
ENSG00000104852	1
ENSG00000104866	1
ENSG00000104885	3
ENSG00000104894	5
ENSG00000104897	5
ENSG00000104904	5
ENSG00000104921	2
ENSG00000105146	4
ENSG00000105173	5
ENSG00000105186	5
ENSG00000105327	1
ENSG00000105372	5
ENSG00000105373	5
ENSG00000105374	2
ENSG00000105401	1
ENSG00000105464	5
ENSG00000105514	2
ENSG00000105559	5
ENSG00000105640	4
ENSG00000105700	5
ENSG00000105723	4
ENSG00000105810	2
ENSG00000105819	1
ENSG00000105835	3
ENSG00000105855	3
ENSG00000105856	3
ENSG00000105879	4
ENSG00000105887	5
ENSG00000105928	2
ENSG00000105948	1
ENSG00000106034	5
ENSG00000106070	2
ENSG00000106077	5
ENSG00000106089	3
ENSG00000106178	1
ENSG00000106366	3
ENSG00000106546	3
ENSG00000106605	5
ENSG00000106638	2
ENSG00000106665	1
ENSG00000106683	1
ENSG00000106780	5
ENSG00000106785	5
ENSG00000106803	1
ENSG00000106868	1
ENSG00000107099	5
ENSG00000107104	3
ENSG00000107130	3
ENSG00000107201	1
ENSG00000107341	5
ENSG00000107372	4
ENSG00000107438	5
ENSG00000107551	1
ENSG00000107581	1
ENSG00000107731	5
ENSG00000107771	4
ENSG00000107957	5
ENSG00000107968	3
ENSG00000108107	4
ENSG00000108179	3
ENSG00000108298	4
ENSG00000108465	1
ENSG00000108479	1
ENSG00000108511	5
ENSG00000108515	1
ENSG00000108518	2
ENSG00000108523	4
ENSG00000108561	4
ENSG00000108576	4
ENSG00000108582	3
ENSG00000108639	5
ENSG00000108651	1
ENSG00000108671	2
ENSG00000108679	5
ENSG00000108688	2
ENSG00000108691	2
ENSG00000108700	1
ENSG00000108774	2
ENSG00000108819	1
ENSG00000108821	1
ENSG00000108829	2
ENSG00000108848	1
ENSG00000108932	3
ENSG00000108950	2
ENSG00000108960	4
ENSG00000109062	5
ENSG00000109099	2
ENSG00000109118	5
ENSG00000109133	4
ENSG00000109158	5
ENSG00000109320	3
ENSG00000109321	3
ENSG00000109436	5
ENSG00000109472	5
ENSG00000109475	4
ENSG00000109586	1
ENSG00000109667	5
ENSG00000109674	2
ENSG00000109861	5
ENSG00000110031	5
ENSG00000110042	5
ENSG00000110047	3
ENSG00000110077	2
ENSG00000110344	5
ENSG00000110395	5
ENSG00000110446	5
ENSG00000110492	1
ENSG00000110651	5
ENSG00000110721	2
ENSG00000110876	5
ENSG00000111052	4
ENSG00000111145	2
ENSG00000111181	1
ENSG00000111275	5
ENSG00000111276	4
ENSG00000111300	2
ENSG00000111331	1
ENSG00000111371	3
ENSG00000111640	3
ENSG00000111642	1
ENSG00000111674	3
ENSG00000111676	5
ENSG00000111716	5
ENSG00000111801	1
ENSG00000111846	1
ENSG00000111863	5
ENSG00000111880	1
ENSG00000111885	5
ENSG00000111906	5
ENSG00000111913	3
ENSG00000111961	5
ENSG00000111962	3
ENSG00000112078	3
ENSG00000112096	3
ENSG00000112137	3
ENSG00000112149	3
ENSG00000112159	1
ENSG00000112249	1
ENSG00000112299	3
ENSG00000112320	5
ENSG00000112343	5
ENSG00000112367	5
ENSG00000112394	3
ENSG00000112419	1
ENSG00000112531	4
ENSG00000112561	2
ENSG00000112576	5
ENSG00000112659	1
ENSG00000112667	2
ENSG00000112715	3
ENSG00000112773	4
ENSG00000112893	1
ENSG00000113013	1
ENSG00000113140	5
ENSG00000113368	2
ENSG00000113369	3
ENSG00000113387	4
ENSG00000113448	3
ENSG00000113522	1
ENSG00000113532	2
ENSG00000113580	4
ENSG00000113583	4
ENSG00000113615	4
ENSG00000113657	2
ENSG00000113719	4
ENSG00000113749	2
ENSG00000114251	3
ENSG00000114315	3
ENSG00000114439	5
ENSG00000114541	2
ENSG00000114650	5
ENSG00000114739	1
ENSG00000114742	5
ENSG00000114770	2
ENSG00000114850	4
ENSG00000114867	2
ENSG00000114978	4
ENSG00000115008	3
ENSG00000115009	3
ENSG00000115053	1
ENSG00000115129	1
ENSG00000115137	1
ENSG00000115155	1
ENSG00000115165	3
ENSG00000115232	2
ENSG00000115267	1
ENSG00000115289	1
ENSG00000115295	4
ENSG00000115306	1
ENSG00000115355	1
ENSG00000115414	5
ENSG00000115415	1
ENSG00000115421	4
ENSG00000115425	5
ENSG00000115457	5
