gene	cluster
ENSG00000113013	2
ENSG00000113387	2
ENSG00000113441	5
ENSG00000113657	2
ENSG00000113719	4
ENSG00000113749	2
ENSG00000114439	5
ENSG00000114988	1
ENSG00000115137	4
ENSG00000115155	1
ENSG00000115165	3
ENSG00000115267	1
ENSG00000115415	1
ENSG00000115525	1
ENSG00000115590	2
ENSG00000115594	3
ENSG00000116031	4
ENSG00000116260	5
ENSG00000116667	3
ENSG00000116741	3
ENSG00000116774	2
ENSG00000117090	3
ENSG00000117266	5
ENSG00000117335	5
ENSG00000117394	3
ENSG00000117632	5
ENSG00000118363	1
ENSG00000118503	3
ENSG00000118515	2
ENSG00000118705	2
ENSG00000118785	2
ENSG00000118816	5
ENSG00000119321	1
ENSG00000119383	2
ENSG00000119414	2
ENSG00000119655	2
ENSG00000119681	2
ENSG00000119917	1
ENSG00000119922	1
ENSG00000120063	3
ENSG00000120071	1
ENSG00000120129	3
ENSG00000120262	5
ENSG00000120725	1
ENSG00000120875	3
ENSG00000120885	2
ENSG00000120948	1
ENSG00000121064	5
ENSG00000121210	5
ENSG00000121281	1
ENSG00000121310	5
ENSG00000121316	5
ENSG00000121579	4
ENSG00000121691	5
ENSG00000121797	3
ENSG00000121807	2
ENSG00000121864	4
ENSG00000121966	3
ENSG00000122025	2
ENSG00000122042	4
ENSG00000122378	1
ENSG00000122705	1
ENSG00000122729	5
ENSG00000122986	5
ENSG00000123124	1
ENSG00000123338	5
ENSG00000123342	3
ENSG00000123384	5
ENSG00000123562	2
ENSG00000123609	1
ENSG00000123643	2
ENSG00000123983	2
ENSG00000124145	3
ENSG00000124226	1
ENSG00000124228	1
ENSG00000124313	5
ENSG00000124357	1
ENSG00000124422	5
ENSG00000124491	2
ENSG00000124731	5
ENSG00000124762	3
ENSG00000125375	2
ENSG00000125430	3
ENSG00000125454	2
ENSG00000125538	3
ENSG00000125735	3
ENSG00000125740	3
ENSG00000125744	5
ENSG00000125810	3
ENSG00000126067	2
ENSG00000126464	5
ENSG00000126709	1
ENSG00000126767	3
