id	Group
SC024_T1_N_AMR_R1	TRAM
SC025_T1_N_AMR_R2	TRAM
SC026_T1_N_AMR_R3	TRAM
SC027_T1_N_AMR_R4	TRAM
SC028_T1_N_AMR_R5	TRAM
SC001_T1_N_AMR_R1	TRAM
SC002_T1_N_AMR_R2	TRAM
SC003_T1_N_AMR_R3	TRAM
SC004_T1_N_AMR_R4	TRAM
SC005_T1_N_AMR_R5	TRAM
SC006_T2_F_AMD_R1	TRAM(IVA)
SC007_T2_F_AMD_R2	TRAM(IVA)
SC008_T2_F_AMD_R3	TRAM(IVA)
SC009_T2_F_AMD_R4	TRAM(IVA)
SC010_T2_F_AMD_R5	TRAM(IVA)
SC006_T2_F_AMR_R1	MoAM1(IVA)
SC007_T2_F_AMR_R2	MoAM1(IVA)
SC008_T2_F_AMR_R3	MoAM1(IVA)
SC009_T2_F_AMR_R4	MoAM1(IVA)
SC010_T2_F_AMR_R5	MoAM1(IVA)
