gene	cluster
ENSMUSG00000000308	1
ENSMUSG00000000326	1
ENSMUSG00000000440	1
ENSMUSG00000001289	1
ENSMUSG00000001435	1
ENSMUSG00000001665	1
ENSMUSG00000001739	1
ENSMUSG00000002395	1
ENSMUSG00000002769	1
ENSMUSG00000002985	1
ENSMUSG00000003153	1
ENSMUSG00000003228	1
ENSMUSG00000003355	1
ENSMUSG00000003420	1
ENSMUSG00000003429	1
ENSMUSG00000003617	1
ENSMUSG00000003721	1
ENSMUSG00000003814	1
ENSMUSG00000003948	1
ENSMUSG00000004207	1
ENSMUSG00000005089	1
ENSMUSG00000005540	1
ENSMUSG00000005686	1
ENSMUSG00000005803	1
ENSMUSG00000005907	1
ENSMUSG00000005981	1
ENSMUSG00000006333	1
ENSMUSG00000006390	1
ENSMUSG00000006731	1
ENSMUSG00000006818	1
ENSMUSG00000006958	1
ENSMUSG00000007029	1
ENSMUSG00000007891	1
ENSMUSG00000008035	1
ENSMUSG00000008193	1
ENSMUSG00000008348	1
ENSMUSG00000008668	1
ENSMUSG00000009545	1
ENSMUSG00000009927	1
ENSMUSG00000010095	1
ENSMUSG00000011034	1
ENSMUSG00000012848	1
ENSMUSG00000013275	1
ENSMUSG00000013584	1
ENSMUSG00000013593	1
ENSMUSG00000014077	1
ENSMUSG00000014226	1
ENSMUSG00000014602	1
ENSMUSG00000014773	1
ENSMUSG00000014905	1
ENSMUSG00000015340	1
ENSMUSG00000015405	1
ENSMUSG00000016206	1
ENSMUSG00000016496	1
ENSMUSG00000016552	1
ENSMUSG00000017002	1
ENSMUSG00000017830	1
ENSMUSG00000018102	1
ENSMUSG00000018171	1
ENSMUSG00000018339	1
ENSMUSG00000018740	1
ENSMUSG00000018900	1
ENSMUSG00000019066	1
ENSMUSG00000019139	1
ENSMUSG00000019359	1
ENSMUSG00000019505	1
ENSMUSG00000019590	1
ENSMUSG00000019893	1
ENSMUSG00000019894	1
ENSMUSG00000019987	1
ENSMUSG00000020080	1
ENSMUSG00000020098	1
ENSMUSG00000020261	1
ENSMUSG00000020264	1
ENSMUSG00000020267	1
ENSMUSG00000020272	1
ENSMUSG00000020326	1
ENSMUSG00000020372	1
ENSMUSG00000020460	1
ENSMUSG00000020473	1
ENSMUSG00000020641	1
ENSMUSG00000020741	1
ENSMUSG00000020810	1
ENSMUSG00000020818	1
ENSMUSG00000020869	1
ENSMUSG00000020886	1
ENSMUSG00000020902	1
ENSMUSG00000020937	1
ENSMUSG00000021125	1
ENSMUSG00000021250	1
ENSMUSG00000021275	1
ENSMUSG00000021281	1
ENSMUSG00000021390	1
ENSMUSG00000021408	1
ENSMUSG00000021417	1
ENSMUSG00000021456	1
ENSMUSG00000021556	1
ENSMUSG00000021876	1
ENSMUSG00000021922	1
ENSMUSG00000022035	1
ENSMUSG00000022181	1
ENSMUSG00000022354	1
ENSMUSG00000022403	1
ENSMUSG00000022450	1
ENSMUSG00000022472	1
ENSMUSG00000022474	1
ENSMUSG00000022562	1
ENSMUSG00000022564	1
ENSMUSG00000022584	1
ENSMUSG00000022586	1
ENSMUSG00000022723	1
ENSMUSG00000022761	1
ENSMUSG00000022765	1
ENSMUSG00000022766	1
ENSMUSG00000022769	1
ENSMUSG00000022817	1
ENSMUSG00000022871	1
ENSMUSG00000022912	1
ENSMUSG00000023019	1
ENSMUSG00000023067	1
ENSMUSG00000023216	1
ENSMUSG00000023452	1
ENSMUSG00000023960	1
ENSMUSG00000024039	1
ENSMUSG00000024065	1
ENSMUSG00000024066	1
ENSMUSG00000024087	1
ENSMUSG00000024140	1
ENSMUSG00000024150	1
ENSMUSG00000024164	1
ENSMUSG00000024238	1
ENSMUSG00000024248	1
ENSMUSG00000024302	1
ENSMUSG00000024349	1
ENSMUSG00000024359	1
ENSMUSG00000024371	1
ENSMUSG00000024507	1
ENSMUSG00000024781	1
ENSMUSG00000024785	1
ENSMUSG00000024806	1
ENSMUSG00000024807	1
ENSMUSG00000024892	1
ENSMUSG00000024990	1
ENSMUSG00000025190	1
ENSMUSG00000025196	1
ENSMUSG00000025243	1
ENSMUSG00000025348	1
ENSMUSG00000025586	1
ENSMUSG00000025738	1
ENSMUSG00000025742	1
ENSMUSG00000025794	1
ENSMUSG00000025915	1
ENSMUSG00000025978	1
ENSMUSG00000026003	1
ENSMUSG00000026158	1
ENSMUSG00000026166	1
ENSMUSG00000026335	1
ENSMUSG00000026353	1
ENSMUSG00000026395	1
ENSMUSG00000026417	1
ENSMUSG00000026452	1
ENSMUSG00000026471	1
ENSMUSG00000026526	1
ENSMUSG00000026701	1
ENSMUSG00000026822	1
ENSMUSG00000026864	1
ENSMUSG00000026874	1
ENSMUSG00000026958	1
ENSMUSG00000027227	1
ENSMUSG00000027359	1
ENSMUSG00000027360	1
ENSMUSG00000027422	1
ENSMUSG00000027530	1
ENSMUSG00000027555	1
ENSMUSG00000027605	1
ENSMUSG00000027611	1
ENSMUSG00000027984	1
ENSMUSG00000027995	1
ENSMUSG00000028001	1
ENSMUSG00000028035	1
ENSMUSG00000028081	1
ENSMUSG00000028132	1
ENSMUSG00000028179	1
ENSMUSG00000028214	1
ENSMUSG00000028234	1
ENSMUSG00000028268	1
ENSMUSG00000028270	1
ENSMUSG00000028278	1
ENSMUSG00000028479	1
ENSMUSG00000028494	1
ENSMUSG00000028599	1
