gene	cluster
ENSMUSG00000000266	1
ENSMUSG00000000538	1
ENSMUSG00000000915	1
ENSMUSG00000001025	1
ENSMUSG00000001627	1
ENSMUSG00000002006	1
ENSMUSG00000002732	1
ENSMUSG00000002831	1
ENSMUSG00000003665	1
ENSMUSG00000005125	1
ENSMUSG00000005360	1
ENSMUSG00000008348	1
ENSMUSG00000008540	1
ENSMUSG00000015222	1
ENSMUSG00000018143	1
ENSMUSG00000018363	1
ENSMUSG00000018378	1
ENSMUSG00000018800	1
ENSMUSG00000019087	1
ENSMUSG00000019302	1
ENSMUSG00000019577	1
ENSMUSG00000019779	1
ENSMUSG00000019790	1
ENSMUSG00000019929	1
ENSMUSG00000020115	1
ENSMUSG00000020134	1
ENSMUSG00000020315	1
ENSMUSG00000020681	1
ENSMUSG00000021025	1
ENSMUSG00000021171	1
ENSMUSG00000021211	1
ENSMUSG00000021720	1
ENSMUSG00000021765	1
ENSMUSG00000021775	1
ENSMUSG00000021819	1
ENSMUSG00000021823	1
ENSMUSG00000021838	1
ENSMUSG00000021904	1
ENSMUSG00000021990	1
ENSMUSG00000022371	1
ENSMUSG00000022498	1
ENSMUSG00000022636	1
ENSMUSG00000022799	1
ENSMUSG00000022983	1
ENSMUSG00000023019	1
ENSMUSG00000023092	1
ENSMUSG00000023868	1
ENSMUSG00000024238	1
ENSMUSG00000024401	1
ENSMUSG00000024462	1
ENSMUSG00000024501	1
ENSMUSG00000024743	1
ENSMUSG00000025337	1
ENSMUSG00000025372	1
ENSMUSG00000025408	1
ENSMUSG00000025510	1
ENSMUSG00000025931	1
ENSMUSG00000026113	1
ENSMUSG00000026180	1
ENSMUSG00000026246	1
ENSMUSG00000026610	1
ENSMUSG00000026723	1
ENSMUSG00000026739	1
ENSMUSG00000026782	1
ENSMUSG00000026819	1
ENSMUSG00000026826	1
ENSMUSG00000026834	1
ENSMUSG00000026932	1
ENSMUSG00000027030	1
ENSMUSG00000027215	1
ENSMUSG00000027309	1
ENSMUSG00000027803	1
ENSMUSG00000028060	1
ENSMUSG00000028369	1
ENSMUSG00000028556	1
ENSMUSG00000028680	1
ENSMUSG00000029053	1
ENSMUSG00000029071	1
ENSMUSG00000030142	1
ENSMUSG00000030255	1
ENSMUSG00000030522	1
ENSMUSG00000030533	1
ENSMUSG00000030545	1
ENSMUSG00000030729	1
ENSMUSG00000030798	1
ENSMUSG00000030960	1
