gene	cluster
ENSMUSG00000000204	1
ENSMUSG00000000386	1
ENSMUSG00000001281	1
ENSMUSG00000001750	1
ENSMUSG00000001774	1
ENSMUSG00000002504	1
ENSMUSG00000004207	1
ENSMUSG00000004446	1
ENSMUSG00000006362	1
ENSMUSG00000006476	1
ENSMUSG00000010358	1
ENSMUSG00000010608	1
ENSMUSG00000011382	1
ENSMUSG00000016206	1
ENSMUSG00000018167	1
ENSMUSG00000018334	1
ENSMUSG00000018899	1
ENSMUSG00000018920	1
ENSMUSG00000019254	1
ENSMUSG00000019699	1
ENSMUSG00000019768	1
ENSMUSG00000019806	1
ENSMUSG00000020077	1
ENSMUSG00000020085	1
ENSMUSG00000020385	1
ENSMUSG00000020638	1
ENSMUSG00000020883	1
ENSMUSG00000020901	1
ENSMUSG00000021190	1
ENSMUSG00000021495	1
ENSMUSG00000021871	1
ENSMUSG00000021990	1
ENSMUSG00000022126	1
ENSMUSG00000022148	1
ENSMUSG00000022185	1
ENSMUSG00000022216	1
ENSMUSG00000022220	1
ENSMUSG00000022346	1
ENSMUSG00000022415	1
ENSMUSG00000022489	1
ENSMUSG00000022555	1
ENSMUSG00000022586	1
ENSMUSG00000022587	1
ENSMUSG00000022665	1
ENSMUSG00000022848	1
ENSMUSG00000022901	1
ENSMUSG00000023349	1
ENSMUSG00000023353	1
ENSMUSG00000023961	1
ENSMUSG00000024014	1
ENSMUSG00000024299	1
ENSMUSG00000024338	1
ENSMUSG00000024339	1
ENSMUSG00000024381	1
ENSMUSG00000024610	1
ENSMUSG00000024807	1
ENSMUSG00000025178	1
ENSMUSG00000025279	1
ENSMUSG00000025316	1
ENSMUSG00000025498	1
ENSMUSG00000025790	1
ENSMUSG00000025877	1
ENSMUSG00000026126	1
ENSMUSG00000026222	1
ENSMUSG00000026536	1
ENSMUSG00000026864	1
ENSMUSG00000027199	1
ENSMUSG00000027347	1
ENSMUSG00000027398	1
ENSMUSG00000027422	1
ENSMUSG00000027435	1
ENSMUSG00000027582	1
ENSMUSG00000027611	1
ENSMUSG00000027829	1
ENSMUSG00000027947	1
ENSMUSG00000028076	1
ENSMUSG00000028268	1
ENSMUSG00000028917	1
ENSMUSG00000029068	1
ENSMUSG00000029071	1
ENSMUSG00000029207	1
ENSMUSG00000029298	1
ENSMUSG00000029490	1
ENSMUSG00000029561	1
ENSMUSG00000029714	1
ENSMUSG00000030107	1
ENSMUSG00000030157	1
ENSMUSG00000030545	1
ENSMUSG00000031444	1
ENSMUSG00000031504	1
ENSMUSG00000031780	1
ENSMUSG00000031897	1
ENSMUSG00000032053	1
ENSMUSG00000032089	1
ENSMUSG00000032322	1
ENSMUSG00000032580	1
ENSMUSG00000032596	1
ENSMUSG00000032661	1
ENSMUSG00000032754	1
ENSMUSG00000032812	1
ENSMUSG00000033213	1
ENSMUSG00000033467	1
ENSMUSG00000034118	1
ENSMUSG00000034459	1
ENSMUSG00000034855	1
ENSMUSG00000035208	1
ENSMUSG00000035273	1
ENSMUSG00000035692	1
ENSMUSG00000035851	1
ENSMUSG00000035929	1
ENSMUSG00000035953	1
ENSMUSG00000036432	1
ENSMUSG00000036478	1
ENSMUSG00000036560	1
ENSMUSG00000036622	1
ENSMUSG00000036875	1
ENSMUSG00000036896	1
ENSMUSG00000036905	1
ENSMUSG00000036908	1
ENSMUSG00000037321	1
ENSMUSG00000037326	1
ENSMUSG00000037849	1
ENSMUSG00000037868	1
ENSMUSG00000038037	1
ENSMUSG00000038085	1
ENSMUSG00000038517	1
ENSMUSG00000038775	1
ENSMUSG00000038872	1
ENSMUSG00000039699	1
ENSMUSG00000039899	1
ENSMUSG00000040033	1
ENSMUSG00000040483	1
ENSMUSG00000040616	1
ENSMUSG00000040751	1
ENSMUSG00000040809	1
ENSMUSG00000041132	1
ENSMUSG00000041481	1
ENSMUSG00000041736	1
ENSMUSG00000041926	1
ENSMUSG00000042190	1
ENSMUSG00000042249	1
ENSMUSG00000042349	1
ENSMUSG00000042726	1
ENSMUSG00000045763	1
ENSMUSG00000046031	1
ENSMUSG00000046718	1
ENSMUSG00000047798	1
ENSMUSG00000047881	1
ENSMUSG00000048677	1
ENSMUSG00000049401	1
ENSMUSG00000050370	1
ENSMUSG00000051043	1
ENSMUSG00000051314	1
ENSMUSG00000051403	1
ENSMUSG00000052270	1
ENSMUSG00000052776	1
ENSMUSG00000053063	1
ENSMUSG00000053113	1
ENSMUSG00000053318	1
ENSMUSG00000053835	1
ENSMUSG00000054072	1
ENSMUSG00000054203	1
ENSMUSG00000054387	1
ENSMUSG00000055413	1
ENSMUSG00000056054	1
ENSMUSG00000057530	1
ENSMUSG00000058435	1
ENSMUSG00000058794	1
ENSMUSG00000059325	1
ENSMUSG00000059851	1
ENSMUSG00000060477	1
ENSMUSG00000060550	1
ENSMUSG00000060671	1
ENSMUSG00000061132	1
ENSMUSG00000061689	1
ENSMUSG00000062783	1
ENSMUSG00000064246	1
ENSMUSG00000066363	1
ENSMUSG00000066861	1
ENSMUSG00000067149	1
ENSMUSG00000068758	1
ENSMUSG00000069792	1
ENSMUSG00000069874	1
ENSMUSG00000070000	1
ENSMUSG00000070730	1
ENSMUSG00000072620	1
ENSMUSG00000072941	1
ENSMUSG00000073409	1
ENSMUSG00000073411	1
ENSMUSG00000073418	1
ENSMUSG00000073421	1
ENSMUSG00000073555	1
ENSMUSG00000073889	1
ENSMUSG00000074151	1
ENSMUSG00000074578	1
ENSMUSG00000074622	1
ENSMUSG00000075010	1
ENSMUSG00000076609	1
ENSMUSG00000076613	1
ENSMUSG00000076617	1
ENSMUSG00000076934	1
ENSMUSG00000078763	1
ENSMUSG00000078920	1
ENSMUSG00000078921	1
ENSMUSG00000079339	1
ENSMUSG00000079362	1
ENSMUSG00000079363	1
ENSMUSG00000079419	1
ENSMUSG00000079457	1
ENSMUSG00000082292	1
ENSMUSG00000089901	1
ENSMUSG00000090231	1
ENSMUSG00000090942	1
ENSMUSG00000092341	1
ENSMUSG00000092618	1
ENSMUSG00000093894	1
ENSMUSG00000095041	1
ENSMUSG00000095351	1
ENSMUSG00000095589	1
ENSMUSG00000096727	1
ENSMUSG00000096979	1
ENSMUSG00000000303	2
ENSMUSG00000001228	2
ENSMUSG00000001525	2
ENSMUSG00000001552	2
ENSMUSG00000002835	2
ENSMUSG00000002944	2
ENSMUSG00000003779	2
ENSMUSG00000004270	2
ENSMUSG00000004552	2
ENSMUSG00000004730	2
ENSMUSG00000005667	2
ENSMUSG00000007872	2
ENSMUSG00000008136	2
ENSMUSG00000012443	2
ENSMUSG00000015776	2
ENSMUSG00000015880	2
ENSMUSG00000018476	2
ENSMUSG00000018965	2
ENSMUSG00000019779	2
ENSMUSG00000019866	2
ENSMUSG00000019873	2
ENSMUSG00000019942	2
ENSMUSG00000019961	2
ENSMUSG00000020399	2
ENSMUSG00000020493	2
ENSMUSG00000020649	2
ENSMUSG00000020838	2
ENSMUSG00000020841	2
ENSMUSG00000020897	2
ENSMUSG00000020914	2
ENSMUSG00000021115	2
ENSMUSG00000021171	2
ENSMUSG00000021187	2
ENSMUSG00000021377	2
ENSMUSG00000021794	2
ENSMUSG00000021986	2
ENSMUSG00000021998	2
ENSMUSG00000022021	2
ENSMUSG00000022324	2
ENSMUSG00000022408	2
ENSMUSG00000022514	2
ENSMUSG00000022562	2
ENSMUSG00000022876	2
ENSMUSG00000023004	2
ENSMUSG00000023015	2
ENSMUSG00000023919	2
ENSMUSG00000024507	2
ENSMUSG00000024590	2
ENSMUSG00000024640	2
ENSMUSG00000025007	2
ENSMUSG00000025037	2
ENSMUSG00000025092	2
ENSMUSG00000025203	2
ENSMUSG00000025289	2
ENSMUSG00000025323	2
ENSMUSG00000025395	2
ENSMUSG00000026062	2
ENSMUSG00000026315	2
ENSMUSG00000026355	2
ENSMUSG00000026389	2
ENSMUSG00000026404	2
ENSMUSG00000026421	2
ENSMUSG00000026483	2
ENSMUSG00000026490	2
ENSMUSG00000026509	2
ENSMUSG00000026605	2
ENSMUSG00000026655	2
ENSMUSG00000026683	2
ENSMUSG00000026730	2
ENSMUSG00000026748	2
ENSMUSG00000026779	2
ENSMUSG00000026979	2
ENSMUSG00000026981	2
ENSMUSG00000027111	2
ENSMUSG00000027306	2
ENSMUSG00000027323	2
ENSMUSG00000027326	2
ENSMUSG00000027331	2
ENSMUSG00000027342	2
ENSMUSG00000027469	2
ENSMUSG00000027506	2
ENSMUSG00000027698	2
ENSMUSG00000027715	2
ENSMUSG00000027803	2
ENSMUSG00000027863	2
ENSMUSG00000028068	2
ENSMUSG00000028124	2
ENSMUSG00000028184	2
ENSMUSG00000028212	2
ENSMUSG00000028312	2
ENSMUSG00000028480	2
ENSMUSG00000028771	2
ENSMUSG00000029086	2
ENSMUSG00000029338	2
ENSMUSG00000029366	2
ENSMUSG00000029683	2
ENSMUSG00000029910	2
ENSMUSG00000029998	2
ENSMUSG00000030159	2
ENSMUSG00000030208	2
ENSMUSG00000030427	2
ENSMUSG00000030677	2
ENSMUSG00000030708	2
ENSMUSG00000030978	2
ENSMUSG00000031696	2
ENSMUSG00000031778	2
ENSMUSG00000031799	2
ENSMUSG00000032020	2
ENSMUSG00000032218	2
ENSMUSG00000032254	2
ENSMUSG00000032349	2
ENSMUSG00000032540	2
ENSMUSG00000032890	2
ENSMUSG00000033083	2
ENSMUSG00000033577	2
ENSMUSG00000033952	2
ENSMUSG00000034349	2
ENSMUSG00000034906	2
ENSMUSG00000035458	2
ENSMUSG00000036752	2
ENSMUSG00000036768	2
ENSMUSG00000036777	2
ENSMUSG00000036853	2
ENSMUSG00000037313	2
ENSMUSG00000038252	2
ENSMUSG00000038943	2
ENSMUSG00000039013	2
ENSMUSG00000039126	2
ENSMUSG00000039270	2
ENSMUSG00000039431	2
ENSMUSG00000040158	2
ENSMUSG00000040204	2
ENSMUSG00000040565	2
ENSMUSG00000041431	2
ENSMUSG00000041439	2
ENSMUSG00000041859	2
ENSMUSG00000042029	2
ENSMUSG00000042035	2
ENSMUSG00000042271	2
ENSMUSG00000042515	2
ENSMUSG00000042688	2
ENSMUSG00000043207	2
ENSMUSG00000045414	2
ENSMUSG00000048834	2
ENSMUSG00000050410	2
ENSMUSG00000051457	2
ENSMUSG00000052534	2
ENSMUSG00000052560	2
ENSMUSG00000052974	2
ENSMUSG00000054626	2
ENSMUSG00000055044	2
ENSMUSG00000055612	2
ENSMUSG00000055782	2
ENSMUSG00000055943	2
ENSMUSG00000056234	2
ENSMUSG00000056999	2
ENSMUSG00000059447	2
ENSMUSG00000059791	2
ENSMUSG00000061013	2
ENSMUSG00000061815	2
ENSMUSG00000061859	2
ENSMUSG00000063015	2
ENSMUSG00000063171	2
ENSMUSG00000064065	2
ENSMUSG00000070868	2
ENSMUSG00000072437	2
ENSMUSG00000073643	2
ENSMUSG00000074342	2
ENSMUSG00000074364	2
ENSMUSG00000079164	2
ENSMUSG00000086564	2
ENSMUSG00000000149	3
ENSMUSG00000002831	3
ENSMUSG00000003665	3
ENSMUSG00000013584	3
ENSMUSG00000018427	3
ENSMUSG00000019577	3
ENSMUSG00000019852	3
ENSMUSG00000020121	3
ENSMUSG00000020654	3
ENSMUSG00000021136	3
ENSMUSG00000022235	3
ENSMUSG00000023868	3
ENSMUSG00000024140	3
ENSMUSG00000024768	3
ENSMUSG00000024897	3
ENSMUSG00000025034	3
ENSMUSG00000025511	3
ENSMUSG00000025854	3
ENSMUSG00000026246	3
ENSMUSG00000026278	3
ENSMUSG00000026458	3
ENSMUSG00000026478	3
ENSMUSG00000026834	3
ENSMUSG00000026986	3
ENSMUSG00000027646	3
ENSMUSG00000028108	3
ENSMUSG00000028111	3
ENSMUSG00000029470	3
ENSMUSG00000029596	3
ENSMUSG00000030017	3
ENSMUSG00000030020	3
ENSMUSG00000030259	3
ENSMUSG00000030930	3
ENSMUSG00000031502	3
ENSMUSG00000031503	3
ENSMUSG00000031765	3
ENSMUSG00000032013	3
ENSMUSG00000033082	3
ENSMUSG00000033377	3
ENSMUSG00000033788	3
ENSMUSG00000034641	3
ENSMUSG00000034926	3
ENSMUSG00000035168	3
ENSMUSG00000035413	3
ENSMUSG00000035441	3
ENSMUSG00000035934	3
ENSMUSG00000036103	3
ENSMUSG00000036545	3
ENSMUSG00000036667	3
ENSMUSG00000037492	3
ENSMUSG00000038418	3
ENSMUSG00000039607	3
ENSMUSG00000040584	3
ENSMUSG00000040606	3
ENSMUSG00000041642	3
ENSMUSG00000041729	3
ENSMUSG00000046338	3
ENSMUSG00000047139	3
ENSMUSG00000047731	3
ENSMUSG00000050390	3
ENSMUSG00000050530	3
ENSMUSG00000052477	3
ENSMUSG00000052688	3
ENSMUSG00000055555	3
ENSMUSG00000057440	3
ENSMUSG00000058454	3
ENSMUSG00000060147	3
ENSMUSG00000061397	3
ENSMUSG00000072812	3
ENSMUSG00000073557	3
ENSMUSG00000075307	3
ENSMUSG00000076596	3
ENSMUSG00000079190	3
ENSMUSG00000079808	3
ENSMUSG00000092390	3
ENSMUSG00000096054	3
ENSMUSG00000097694	3
