gene	cluster
ENSMUSG00000021728	1
ENSMUSG00000021733	1
ENSMUSG00000021754	1
ENSMUSG00000021759	1
ENSMUSG00000021767	1
ENSMUSG00000021796	1
ENSMUSG00000021811	1
ENSMUSG00000021846	1
ENSMUSG00000021932	1
ENSMUSG00000021986	1
ENSMUSG00000022014	1
ENSMUSG00000022021	1
ENSMUSG00000022033	1
ENSMUSG00000022034	1
ENSMUSG00000022041	1
ENSMUSG00000022043	1
ENSMUSG00000022096	1
ENSMUSG00000022123	1
ENSMUSG00000022141	1
ENSMUSG00000022142	1
ENSMUSG00000022199	1
ENSMUSG00000022218	1
ENSMUSG00000022235	1
ENSMUSG00000022285	1
ENSMUSG00000022314	1
ENSMUSG00000022322	1
ENSMUSG00000022324	1
ENSMUSG00000022346	1
ENSMUSG00000022353	1
ENSMUSG00000022360	1
ENSMUSG00000022371	1
ENSMUSG00000022385	1
ENSMUSG00000022408	1
ENSMUSG00000022422	1
ENSMUSG00000022456	1
ENSMUSG00000022462	1
ENSMUSG00000022505	1
ENSMUSG00000022508	1
ENSMUSG00000022512	1
ENSMUSG00000022514	1
ENSMUSG00000022533	1
ENSMUSG00000022562	1
ENSMUSG00000022574	1
ENSMUSG00000022629	1
ENSMUSG00000022637	1
ENSMUSG00000022639	1
ENSMUSG00000022641	1
ENSMUSG00000022672	1
ENSMUSG00000022673	1
ENSMUSG00000022744	1
ENSMUSG00000022747	1
ENSMUSG00000022788	1
ENSMUSG00000022853	1
ENSMUSG00000022864	1
ENSMUSG00000022867	1
ENSMUSG00000022895	1
ENSMUSG00000022945	1
ENSMUSG00000022960	1
ENSMUSG00000022983	1
ENSMUSG00000023015	1
ENSMUSG00000023018	1
ENSMUSG00000023022	1
ENSMUSG00000023026	1
ENSMUSG00000023087	1
ENSMUSG00000023243	1
ENSMUSG00000023505	1
ENSMUSG00000023826	1
ENSMUSG00000023845	1
ENSMUSG00000023868	1
ENSMUSG00000023903	1
ENSMUSG00000023908	1
ENSMUSG00000023919	1
ENSMUSG00000023923	1
ENSMUSG00000023940	1
ENSMUSG00000023951	1
ENSMUSG00000024008	1
ENSMUSG00000024013	1
ENSMUSG00000024030	1
ENSMUSG00000024048	1
ENSMUSG00000024056	1
ENSMUSG00000024070	1
ENSMUSG00000024074	1
ENSMUSG00000024081	1
